Date,Time,Latitude,Logitude,Earthquake Depth in KM,Magnitude,Magnitude Type,Gap,Place,Type
2013/09/26,2013/09/26T20:07:26.560Z,36.7887,141.0755,31.8,4.5,mb,128,"29km E of Kitaibaraki, Japan",earthquake
2013/09/25,2013/09/25T17:28:03.770Z,28.2862,142.6792,26.74,4.8,mb,138,"140km NNE of Chichi/shima, Japan",earthquake
2013/09/24,2013/09/24T14:07:41.720Z,27.98,140.6326,66.18,5.1,mb,52,"185km WNW of Chichi/shima, Japan",earthquake
2013/09/24,2013/09/24T13:44:15.440Z,32.4881,141.2501,26.33,4.8,mb,92,"151km ESE of Hachijo/jima, Japan",earthquake
2013/09/23,2013/09/23T16:40:29.380Z,28.3512,138.7145,532.91,4.8,mb,41,"Bonin Islands, Japan region",earthquake
2013/09/22,2013/09/22T23:05:38.200Z,48.5878,154.5168,67.53,4.5,mb,75,"259km SSW of Severo/Kuril'sk, Russia",earthquake
2013/09/21,2013/09/21T20:29:45.890Z,30.0201,131,37.87,4.6,mb,110,"79km S of Nishinoomote, Japan",earthquake
2013/09/21,2013/09/21T20:26:48.640Z,30.101,131.1832,40.79,4.8,mb,62,"72km SSE of Nishinoomote, Japan",earthquake
2013/09/21,2013/09/21T20:05:45.510Z,30.1235,131.103,41.61,4.7,mb,122,"68km S of Nishinoomote, Japan",earthquake
2013/09/21,2013/09/21T15:11:23.000Z,33.8857,136.6234,375.27,4.5,mb,52,"43km ESE of Owase, Japan",earthquake
2013/09/20,2013/09/20T06:50:27.660Z,30.0386,131.1453,31.58,5,mb,95,"78km S of Nishinoomote, Japan",earthquake
2013/09/19,2013/09/19T23:23:01.170Z,30.7291,129.4414,249.69,4.5,mb,85,"102km SW of Makurazaki, Japan",earthquake
2013/09/19,2013/09/19T17:25:06.920Z,37.0674,140.7879,8,5.4,mwb,45,"8km WNW of Iwaki, Japan",earthquake
2013/09/18,2013/09/18T22:44:57.030Z,37.0214,140.5029,49.67,4.5,mb,83,"15km SSE of Ishikawa, Japan",earthquake
2013/09/18,2013/09/18T18:44:35.720Z,47.8234,154.146,60.88,4.6,mb,136,Kuril Islands,earthquake
2013/09/18,2013/09/18T00:27:46.170Z,38.7119,142.3169,44.08,5,mb,74,"65km SE of Ofunato, Japan",earthquake
2013/09/17,2013/09/17T12:41:45.580Z,26.9396,143.0602,10.11,4.5,mb,127,"85km E of Chichi/shima, Japan",earthquake
2013/09/16,2013/09/16T22:58:49.670Z,29.0967,130.4081,30.19,4.7,mb,50,"121km NE of Naze, Japan",earthquake
2013/09/16,2013/09/16T13:02:19.260Z,28.862,142.6243,33.55,4.8,mb,95,"201km NNE of Chichi/shima, Japan",earthquake
2013/09/15,2013/09/15T17:35:42.140Z,30.0611,130.9982,31.63,4.7,mb,128,"74km S of Nishinoomote, Japan",earthquake
2013/09/15,2013/09/15T13:09:42.440Z,37.303,143.6587,28.98,4.6,mb,136,"236km E of Namie, Japan",earthquake
2013/09/15,2013/09/15T05:15:13.550Z,24.1234,125.9753,35,4.5,mb,106,"102km SE of Hirara, Japan",earthquake
2013/09/15,2013/09/15T00:38:34.580Z,34.8567,141.682,39.35,4.5,mb,100,"124km SE of Hasaki, Japan",earthquake
2013/09/15,2013/09/15T00:30:29.000Z,23.7841,142.2582,50.41,4.6,mb,72,"145km SE of Iwo Jima, Japan",earthquake
2013/09/14,2013/09/14T12:42:00.390Z,38.6019,142.3516,37.59,4.6,mb,120,"75km SE of Ofunato, Japan",earthquake
2013/09/14,2013/09/14T08:44:33.280Z,35.4462,140.9134,35.04,4.7,mb,105,"32km SSE of Hasaki, Japan",earthquake
2013/09/13,2013/09/13T11:04:29.880Z,37.4352,142.6268,35,4.6,mb,137,"144km E of Namie, Japan",earthquake
2013/09/12,2013/09/12T19:49:33.690Z,36.6974,140.956,45.99,4.5,mb,128,"20km ESE of Kitaibaraki, Japan",earthquake
2013/09/12,2013/09/12T06:12:53.780Z,43.127,139.7963,190.38,4.5,mb,57,"60km WNW of Iwanai, Japan",earthquake
2013/09/11,2013/09/11T07:11:31.870Z,43.1012,139.7774,189.04,4.9,mb,60,"61km WNW of Iwanai, Japan",earthquake
2013/09/11,2013/09/11T05:35:30.740Z,26.7579,144.054,10,4.5,mb,93,"186km E of Chichi/shima, Japan",earthquake
2013/09/11,2013/09/11T04:24:14.930Z,43.2243,146.9158,63.74,4.6,mb,87,"65km SSE of Shikotan, Russia",earthquake
2013/09/10,2013/09/10T03:15:31.000Z,36.8673,141.0435,39.78,4.5,mb,103,"24km SE of Iwaki, Japan",earthquake
2013/09/09,2013/09/09T22:01:44.350Z,43.836,151.7249,10,4.7,mb,96,East of the Kuril Islands,earthquake
2013/09/09,2013/09/09T00:04:20.730Z,36.6332,140.5587,11.23,4.9,mb,58,"8km WNW of Hitachi, Japan",earthquake
2013/09/07,2013/09/07T14:19:06.910Z,41.2592,144.0761,28.13,4.5,mb,83,"185km SE of Shizunai, Japan",earthquake
2013/09/07,2013/09/07T11:35:49.820Z,26.38,128.7737,25.11,4.5,mb,89,"82km ESE of Nago, Japan",earthquake
2013/09/05,2013/09/05T21:21:48.860Z,24.7645,124.812,28.65,4.8,mb,54,"47km W of Hirara, Japan",earthquake
2013/09/04,2013/09/04T00:18:23.370Z,29.9377,138.8325,402,6.5,mww,26,"Izu Islands, Japan region",earthquake
2013/09/03,2013/09/03T13:29:04.520Z,28.1597,142.8151,31.14,4.6,mb,137,"133km NNE of Chichi/shima, Japan",earthquake
2013/09/03,2013/09/03T01:08:58.120Z,26.6056,130.095,34.78,4.6,mb,100,"204km SSE of Naze, Japan",earthquake
2013/09/02,2013/09/02T16:28:22.150Z,37.5377,143.8921,19.62,4.6,mb,120,"247km ESE of Ishinomaki, Japan",earthquake
2013/09/02,2013/09/02T02:51:13.230Z,42.1989,133.6656,445,5.7,mww,25,"75km SE of Vrangel', Russia",earthquake
2013/09/01,2013/09/01T10:25:32.550Z,32.5212,141.007,38.77,4.5,mb,78,"129km ESE of Hachijo/jima, Japan",earthquake
2013/08/31,2013/08/31T23:52:06.980Z,47.9948,148.1342,393.2,4.9,mb,31,"117km SSW of Vostok, Russia",earthquake
2013/08/31,2013/08/31T23:48:53.410Z,40.0741,143.6995,35.04,4.7,mb,35,"157km ENE of Miyako, Japan",earthquake
2013/08/31,2013/08/31T18:46:08.680Z,35.7882,141.0581,25.07,4.6,mb,160,"21km ENE of Hasaki, Japan",earthquake
2013/08/30,2013/08/30T20:32:11.680Z,39.7044,139.9617,158.94,4.6,mb,124,"12km W of Akita/shi, Japan",earthquake
2013/08/30,2013/08/30T16:56:33.750Z,38.6959,142.387,44.97,4.5,mb,135,"71km SE of Ofunato, Japan",earthquake
2013/08/30,2013/08/30T11:33:04.440Z,45.0513,149.2636,74.95,4.5,mb,99,"110km E of Kuril'sk, Russia",earthquake
2013/08/30,2013/08/30T08:32:28.160Z,33.6457,135.8888,31.62,4.6,mb,66,"13km SW of Shingu, Japan",earthquake
2013/08/29,2013/08/29T22:15:13.520Z,37.6697,143.8102,35.71,4.7,mb,25,"235km ESE of Ishinomaki, Japan",earthquake
2013/08/29,2013/08/29T02:47:34.160Z,40.2919,143.6514,25.54,4.7,mb,104,"162km ENE of Miyako, Japan",earthquake
2013/08/28,2013/08/28T12:50:13.590Z,37.4011,144.5323,10.83,4.6,mb,125,"Off the east coast of Honshu, Japan",earthquake
2013/08/27,2013/08/27T17:09:24.290Z,37.6147,142.2012,35.5,4.7,mb,60,"107km E of Namie, Japan",earthquake
2013/08/27,2013/08/27T14:25:46.500Z,44.5106,149.0412,41.71,5.3,mb,90,"121km SE of Kuril'sk, Russia",earthquake
2013/08/27,2013/08/27T09:40:45.340Z,47.0995,152.6664,74.17,4.8,mb,104,Kuril Islands,earthquake
2013/08/26,2013/08/26T06:08:05.510Z,34.3597,141.4007,35.61,4.7,mb,118,"132km SE of Katsuura, Japan",earthquake
2013/08/26,2013/08/26T05:24:28.790Z,38.9077,141.9232,65.06,4.5,mb,172,"25km SE of Ofunato, Japan",earthquake
2013/08/26,2013/08/26T04:58:51.200Z,49.4932,155.6532,38,5.3,mwb,111,"136km SSW of Severo/Kuril'sk, Russia",earthquake
2013/08/25,2013/08/25T14:25:23.420Z,35.425,140.1516,52.75,4.5,mb,134,"11km SSE of Ichihara, Japan",earthquake
2013/08/24,2013/08/24T16:35:40.050Z,25.7349,145.3734,36.62,4.5,mb,219,East of the Volcano Islands,earthquake
2013/08/22,2013/08/22T19:29:59.130Z,37.0986,142.3773,40.44,4.6,mb,103,"129km ESE of Namie, Japan",earthquake
2013/08/22,2013/08/22T06:53:05.470Z,42.3371,142.9435,63.87,4.8,mb,96,"47km E of Shizunai, Japan",earthquake
2013/08/21,2013/08/21T18:01:40.240Z,48.9183,155.9082,37.44,4.5,mb,186,"196km S of Severo/Kuril'sk, Russia",earthquake
2013/08/21,2013/08/21T17:20:03.890Z,36.9599,141.263,18.15,4.6,mb,99,"35km ESE of Iwaki, Japan",earthquake
2013/08/21,2013/08/21T15:28:03.420Z,37.5633,141.6421,46.38,4.5,mb,123,"57km E of Namie, Japan",earthquake
2013/08/21,2013/08/21T12:27:03.150Z,25.1209,127.5097,20.02,4.5,mb,62,"112km S of Itoman, Japan",earthquake
2013/08/21,2013/08/21T08:25:04.760Z,47.8683,152.7624,143,5.3,mwb,38,Kuril Islands,earthquake
2013/08/20,2013/08/20T17:41:19.750Z,36.8549,142.6899,16.15,4.9,mb,64,"162km E of Iwaki, Japan",earthquake
2013/08/20,2013/08/20T14:19:48.100Z,38.6072,144.015,22.16,4.5,mb,136,"198km ESE of Kamaishi, Japan",earthquake
2013/08/18,2013/08/18T05:35:19.660Z,38.0015,144.8243,10.13,4.7,mb,101,"292km ESE of Kamaishi, Japan",earthquake
2013/08/17,2013/08/17T23:01:03.360Z,33.2719,139.5165,34.63,4.7,mb,30,"33km NW of Hachijo/jima, Japan",earthquake
2013/08/17,2013/08/17T10:20:54.320Z,36.5742,141.8505,34.82,4.7,mb,69,"101km ESE of Iwaki, Japan",earthquake
2013/08/16,2013/08/16T22:20:51.710Z,42.882,142.7374,133.79,4.5,mb,46,"38km W of Obihiro, Japan",earthquake
2013/08/16,2013/08/16T16:28:22.070Z,39.5938,140.4582,112.36,4.6,mb,158,"9km W of Kakudate, Japan",earthquake
2013/08/14,2013/08/14T22:53:52.570Z,36.7566,141.1842,10.15,4.5,mb,122,"38km E of Kitaibaraki, Japan",earthquake
2013/08/13,2013/08/13T14:36:07.480Z,24.4787,141.7696,86.79,4.6,mb,80,"55km SE of Iwo Jima, Japan",earthquake
2013/08/13,2013/08/13T01:01:42.080Z,38.7441,142.3146,31.32,4.7,mb,57,"63km SE of Ofunato, Japan",earthquake
2013/08/13,2013/08/13T00:09:44.980Z,43.7191,143.4694,177.92,5.1,mb,102,"35km WSW of Kitami, Japan",earthquake
2013/08/12,2013/08/12T16:25:41.050Z,33.6964,137.0848,361.78,4.7,mb,37,"89km SSE of Toba, Japan",earthquake
2013/08/12,2013/08/12T12:59:33.520Z,36.9036,141.1799,19.35,4.9,mb,87,"31km ESE of Iwaki, Japan",earthquake
2013/08/12,2013/08/12T00:51:10.800Z,41.9723,142.3107,59.03,4.9,mb,48,"40km S of Shizunai, Japan",earthquake
2013/08/11,2013/08/11T06:05:01.020Z,35.5649,143.5473,28.26,4.6,mb,118,"246km E of Hasaki, Japan",earthquake
2013/08/10,2013/08/10T09:01:04.270Z,44.5951,148.2636,62.93,4.6,mb,90,"77km SSE of Kuril'sk, Russia",earthquake
2013/08/09,2013/08/09T22:56:03.670Z,36.9071,141.0419,60.77,5,mb,29,"21km SE of Iwaki, Japan",earthquake
2013/08/09,2013/08/09T18:34:16.020Z,32.04,141.3012,52.73,4.8,mb,92,"182km SE of Hachijo/jima, Japan",earthquake
2013/08/09,2013/08/09T16:40:20.070Z,39.7575,143.5751,18.74,4.7,mb,131,"139km E of Miyako, Japan",earthquake
2013/08/09,2013/08/09T14:57:23.140Z,39.74,143.7712,11.76,4.8,mb,132,"156km E of Miyako, Japan",earthquake
2013/08/09,2013/08/09T09:32:58.050Z,37.6279,144.2,34.97,4.6,mb,135,"269km ESE of Ishinomaki, Japan",earthquake
2013/08/09,2013/08/09T02:59:37.380Z,39.7779,143.6251,32.87,5,mb,131,"144km E of Miyako, Japan",earthquake
2013/08/07,2013/08/07T10:56:07.220Z,33.8869,141.6805,12.01,4.5,mb,119,"187km SE of Katsuura, Japan",earthquake
2013/08/07,2013/08/07T07:51:31.930Z,41.207,142.4091,68.85,4.7,mb,134,"100km E of Mutsu, Japan",earthquake
2013/08/06,2013/08/06T14:11:52.620Z,26.455,124.9911,208.62,4.8,mb,62,"185km N of Hirara, Japan",earthquake
2013/08/06,2013/08/06T05:29:12.200Z,47.0988,153.9237,10,4.5,mb,179,Kuril Islands,earthquake
2013/08/04,2013/08/04T20:08:33.940Z,37.6213,144.274,35.47,4.5,mb,136,"275km ESE of Ishinomaki, Japan",earthquake
2013/08/04,2013/08/04T17:10:01.970Z,44.5129,148.1975,61.63,4.6,mb,90,"83km SSE of Kuril'sk, Russia",earthquake
2013/08/04,2013/08/04T15:56:35.010Z,46.9925,145.2582,375.01,5.8,mww,10,"190km E of Dolinsk, Russia",earthquake
2013/08/04,2013/08/04T03:28:50.810Z,38.2133,141.8621,56,5.8,mww,18,"54km ESE of Ishinomaki, Japan",earthquake
2013/08/03,2013/08/03T00:56:15.280Z,34.5452,137.549,33.12,5.1,mb,73,"19km S of Kosai/shi, Japan",earthquake
2013/08/02,2013/08/02T12:27:38.490Z,27.0393,130.8682,10,4.6,mb,124,"200km SE of Naze, Japan",earthquake
2013/08/01,2013/08/01T16:39:58.850Z,49.5933,156.0879,53.42,5.1,mb,70,"120km S of Severo/Kuril'sk, Russia",earthquake
2013/08/01,2013/08/01T11:13:27.290Z,35.2208,141.2459,34.44,4.5,mb,121,"68km SSE of Hasaki, Japan",earthquake
2013/07/31,2013/07/31T16:33:13.440Z,44.795,143.202,249.7,4.7,mb,123,"50km NNW of Mombetsu, Japan",earthquake
2013/07/31,2013/07/31T05:40:52.620Z,36.375,142.861,29.4,4.8,mb,112,"191km ESE of Iwaki, Japan",earthquake
2013/07/31,2013/07/31T00:14:16.980Z,38.121,141.999,29.7,4.9,mb,72,"69km ESE of Ishinomaki, Japan",earthquake
2013/07/29,2013/07/29T18:26:13.000Z,39.545,145.313,33,4.5,mb,277,"288km E of Miyako, Japan",earthquake
2013/07/28,2013/07/28T17:49:48.790Z,39.447,143.265,30.7,4.6,mb,135,"113km E of Yamada, Japan",earthquake
2013/07/28,2013/07/28T11:36:00.590Z,31.049,137.941,454.9,4.8,mb,23,"285km SW of Hachijo/jima, Japan",earthquake
2013/07/27,2013/07/27T09:04:47.560Z,39.9,143.125,33.8,4.6,mb,131,"104km ENE of Miyako, Japan",earthquake
2013/07/27,2013/07/27T01:14:47.750Z,32.997,141.768,38.4,4.6,mb,127,"184km E of Hachijo/jima, Japan",earthquake
2013/07/27,2013/07/27T01:08:59.260Z,33.019,141.716,9.9,5.3,mwc,25,"179km E of Hachijo/jima, Japan",earthquake
2013/07/26,2013/07/26T13:28:37.420Z,25.559,125.006,108.3,4.5,mb,102,"88km NNW of Hirara, Japan",earthquake
2013/07/25,2013/07/25T19:05:07.130Z,40.199,142.472,44.9,5,mb,87,"76km NE of Miyako, Japan",earthquake
2013/07/24,2013/07/24T01:47:28.440Z,28.09,129.982,35,4.6,mb,81,"57km ESE of Naze, Japan",earthquake
2013/07/23,2013/07/23T03:02:13.780Z,37.136,140.65,15.5,5.3,mb,45,"17km E of Ishikawa, Japan",earthquake
2013/07/23,2013/07/23T02:03:47.470Z,37.53,141.697,56,4.5,mb,67,"61km E of Namie, Japan",earthquake
2013/07/22,2013/07/22T23:24:45.560Z,36.254,141.964,31.3,4.6,mb,72,"102km NE of Hasaki, Japan",earthquake
2013/07/22,2013/07/22T02:55:50.450Z,29.264,130.498,23.2,4.5,mb,113.2,"Ryukyu Islands, Japan",earthquake
2013/07/21,2013/07/21T23:02:28.040Z,42.48,146.696,43.4,4.8,mb,41,"off the coast of Hokkaido, Japan",earthquake
2013/07/21,2013/07/21T09:52:57.000Z,36.276,141.837,15.6,4.9,mb,71,"near the east coast of Honshu, Japan",earthquake
2013/07/21,2013/07/21T07:03:18.870Z,35.67,140.754,34.2,4.7,mb,109,"4km SE of Yokaichiba, Japan",earthquake
2013/07/21,2013/07/21T05:33:48.360Z,36.324,141.758,32.3,4.8,mb,119,"95km ESE of Kitaibaraki, Japan",earthquake
2013/07/20,2013/07/20T06:06:22.130Z,36.251,141.698,14,5.2,mwb,70,"103km ENE of Hasaki, Japan",earthquake
2013/07/19,2013/07/19T16:39:18.640Z,37.5,141.625,40,5.5,mwb,80,"34km E of Namie, Japan",earthquake
2013/07/19,2013/07/19T09:05:07.250Z,38.585,142.075,49,4.5,mb,130,"51km SSE of Ofunato, Japan",earthquake
2013/07/18,2013/07/18T23:44:13.680Z,39.056,142.177,54.6,5,mb,115,"30km SSE of Kamaishi, Japan",earthquake
2013/07/18,2013/07/18T17:05:04.150Z,38.314,141.794,49.5,4.6,mb,135,"24km NE of Ishinomaki, Japan",earthquake
2013/07/17,2013/07/17T13:56:24.440Z,35.674,140.27,63.1,4.5,mb,119,"2km SSE of Yotsukaido, Japan",earthquake
2013/07/16,2013/07/16T14:09:27.510Z,43.018,145.411,46.6,5.2,mb,91.9,"33km SSW of Nemuro, Japan",earthquake
2013/07/16,2013/07/16T09:35:08.220Z,35.595,141.059,32.3,4.5,mb,114,"near the east coast of Honshu, Japan",earthquake
2013/07/15,2013/07/15T22:45:57.930Z,39.621,142.264,63.3,5.2,mb,76,"20km E of Miyako, Japan",earthquake
2013/07/14,2013/07/14T02:33:13.750Z,37.349,144.971,31.9,4.5,mb,120,"Off the east coast of Honshu, Japan",earthquake
2013/07/14,2013/07/14T00:09:27.630Z,42.562,144.897,25.5,4.5,mb,123,"Hokkaido, Japan region",earthquake
2013/07/12,2013/07/12T18:31:23.940Z,38.397,142.126,23.6,4.8,mb,81,"68km E of Ishinomaki, Japan",earthquake
2013/07/11,2013/07/11T18:56:05.750Z,47.696,151.848,69.6,4.5,mb,131,Kuril Islands,earthquake
2013/07/11,2013/07/11T00:14:34.800Z,30.476,141.771,25.5,5.3,mb,32,"Izu Islands, Japan region",earthquake
2013/07/10,2013/07/10T23:33:46.560Z,49.988,158.818,35.9,5,mb,85,"202km ESE of Severo/Kuril'sk, Russia",earthquake
2013/07/10,2013/07/10T22:09:41.590Z,37.193,142.318,13.3,4.5,mb,110,"103km ESE of Namie, Japan",earthquake
2013/07/10,2013/07/10T18:18:03.370Z,38.323,141.903,48.3,4.6,mb,130,"near the east coast of Honshu, Japan",earthquake
2013/07/10,2013/07/10T15:35:22.200Z,27.979,142.904,27.1,4.5,mb,71.5,"137km NE of Chichi/shima, Japan",earthquake
2013/07/10,2013/07/10T05:22:14.780Z,39.638,141.705,81.9,5.3,mb,99,"26km W of Miyako, Japan",earthquake
2013/07/09,2013/07/09T18:18:38.590Z,26.775,143.743,34.9,4.5,mb,115,"Bonin Islands, Japan region",earthquake
2013/07/09,2013/07/09T18:16:31.800Z,26.762,143.893,36.3,4.7,mb,101,"168km ESE of Chichi/shima, Japan",earthquake
2013/07/09,2013/07/09T10:39:21.320Z,24.692,127.809,9.7,4.6,mb,137,"162km S of Itoman, Japan",earthquake
2013/07/07,2013/07/07T03:38:41.400Z,31.287,141.882,29.6,4.6,mb,121,"276km SE of Hachijo/jima, Japan",earthquake
2013/07/06,2013/07/06T09:28:06.000Z,46.387,153.983,39,4.6,mb,182,Kuril Islands,earthquake
2013/07/06,2013/07/06T06:53:19.420Z,46.049,150.516,160.8,4.8,mb,85,"232km ENE of Kuril'sk, Russia",earthquake
2013/07/05,2013/07/05T22:00:48.240Z,35.768,140.851,41.1,4.6,mb,93,"9km ENE of Hasaki, Japan",earthquake
2013/07/04,2013/07/04T11:08:29.000Z,46.803,141.77,9.9,4.7,mb,90,"18km NNW of Nevel'sk, Russia",earthquake
2013/07/03,2013/07/03T21:13:26.560Z,46.252,152.962,35,4.6,mb,136,Kuril Islands,earthquake
2013/07/03,2013/07/03T15:06:10.650Z,37.323,141.453,11.8,5,mb,98,"36km ESE of Namie, Japan",earthquake
2013/07/03,2013/07/03T14:09:14.920Z,38.245,143.937,26.8,4.7,mb,124.3,"213km ESE of Kamaishi, Japan",earthquake
2013/07/03,2013/07/03T01:45:37.590Z,30.491,142.108,31.3,4.6,mb,66,"Izu Islands, Japan region",earthquake
2013/07/01,2013/07/01T09:28:04.550Z,41.986,142.605,71.4,4.5,mb,103,"Hokkaido, Japan region",earthquake
2013/07/01,2013/07/01T08:40:39.840Z,39.703,143.276,27.2,4.7,mb,98,"off the east coast of Honshu, Japan",earthquake
2013/06/30,2013/06/30T05:01:59.490Z,37.143,141.372,16.6,4.8,mb,191,"near the east coast of Honshu, Japan",earthquake
2013/06/29,2013/06/29T10:50:23.070Z,49.594,155.954,69.4,4.6,mb,135,"123km S of Severo/Kuril'sk, Russia",earthquake
2013/06/28,2013/06/28T05:52:02.570Z,24.226,125.116,45.3,4.6,mb,121,"65km SSW of Hirara, Japan",earthquake
2013/06/27,2013/06/27T22:27:02.040Z,31.331,141.585,21.8,4.6,mb,121,"263km SE of Hachijo/jima, Japan",earthquake
2013/06/27,2013/06/27T18:28:10.690Z,25.84,128.531,5.5,4.5,mb,148,"Ryukyu Islands, Japan",earthquake
2013/06/27,2013/06/27T18:12:22.560Z,26.001,128.274,18.1,4.9,mb,129,"51km SE of Haebaru, Japan",earthquake
2013/06/26,2013/06/26T22:54:51.460Z,44.777,145.634,21,4.9,mb,139,"79km NNW of Otrada, Russia",earthquake
2013/06/26,2013/06/26T17:12:09.600Z,39.741,143.557,17.9,4.9,mb,135,"off the east coast of Honshu, Japan",earthquake
2013/06/25,2013/06/25T15:02:34.540Z,31.52,141.802,6,4.7,mb,94.7,"256km SE of Hachijo/jima, Japan",earthquake
2013/06/24,2013/06/24T23:12:24.930Z,41.484,142.053,55.3,4.7,mb,131,"73km ENE of Mutsu, Japan",earthquake
2013/06/24,2013/06/24T01:05:42.470Z,44.181,149.779,34,4.7,mb,98,"190km SE of Kuril'sk, Russia",earthquake
2013/06/23,2013/06/23T10:20:24.140Z,39.376,143.32,27.9,4.5,mb,73,"118km E of Yamada, Japan",earthquake
2013/06/23,2013/06/23T02:26:46.060Z,47.726,154.037,47,4.5,mb,138,Kuril Islands,earthquake
2013/06/22,2013/06/22T23:10:27.280Z,26.747,144.042,40.3,4.5,mb,140,"185km ESE of Chichi/shima, Japan",earthquake
2013/06/22,2013/06/22T06:03:01.210Z,37.948,143.931,33.7,4.5,mb,136,"229km ESE of Ofunato, Japan",earthquake
2013/06/21,2013/06/21T07:31:14.690Z,27.995,129.289,43.9,4.6,mb,90,"45km SSW of Naze, Japan",earthquake
2013/06/20,2013/06/20T07:26:53.720Z,48.553,153.365,159.6,4.6,mb,80,Kuril Islands,earthquake
2013/06/20,2013/06/20T01:49:44.720Z,40.83,142.345,52.6,5,mb,98,"85km ENE of Hachinohe, Japan",earthquake
2013/06/17,2013/06/17T05:39:20.750Z,48.558,142.198,10,4.5,mb,101,"Sakhalin, Russia",earthquake
2013/06/16,2013/06/16T15:52:04.860Z,38.471,143.365,46.3,4.5,mb,174,"155km SE of Kamaishi, Japan",earthquake
2013/06/13,2013/06/13T16:59:15.220Z,44.254,147.482,120.3,4.9,mb,186,Kuril Islands,earthquake
2013/06/13,2013/06/13T13:24:45.360Z,26.533,128.886,20,5.6,mww,43,"86km E of Nago, Japan",earthquake
2013/06/11,2013/06/11T19:27:58.590Z,41.282,142.592,46.8,4.5,mb,172,"114km E of Mutsu, Japan",earthquake
2013/06/09,2013/06/09T09:05:52.360Z,29.119,142.537,15.1,4.6,mb,138,"227km N of Chichi/shima, Japan",earthquake
2013/06/06,2013/06/06T04:25:41.200Z,35.638,140.578,30.6,4.6,mb,127,"7km SSE of Yokaichiba, Japan",earthquake
2013/06/06,2013/06/06T03:28:58.130Z,35.548,140.459,53.6,5,mb,76,"6km SSE of Naruto, Japan",earthquake
2013/06/06,2013/06/06T01:18:49.000Z,31.332,142.268,20.6,4.5,mb,121,"Izu Islands, Japan region",earthquake
2013/06/05,2013/06/05T19:40:01.210Z,27.667,142.811,10.7,4.5,mb,155,"Bonin Islands, Japan region",earthquake
2013/06/04,2013/06/04T22:59:56.060Z,34.476,141.087,31,4.5,mb,150,"98km SE of Katsuura, Japan",earthquake
2013/06/04,2013/06/04T16:31:49.390Z,45.329,150.974,43.6,4.7,mb,91.9,"242km E of Kuril'sk, Russia",earthquake
2013/06/04,2013/06/04T11:01:57.480Z,45.277,151.073,35,5.3,mb,81,"242km E of Kuril'sk, Russia",earthquake
2013/06/04,2013/06/04T11:00:09.170Z,45.379,150.919,23.6,5.5,mwb,51,"239km E of Kuril'sk, Russia",earthquake
2013/06/04,2013/06/04T08:33:22.210Z,37.214,141.411,47.7,4.9,mb,101,"47km SE of Namie, Japan",earthquake
2013/06/04,2013/06/04T07:12:26.300Z,45.355,151.052,44.1,4.9,mb,82,"248km E of Kuril'sk, Russia",earthquake
2013/06/04,2013/06/04T06:26:57.790Z,45.306,150.979,54.5,4.6,mb,101,"239km E of Kuril'sk, Russia",earthquake
2013/06/04,2013/06/04T04:57:56.380Z,45.338,151.079,52.3,4.6,mb,136,"250km E of Kuril'sk, Russia",earthquake
2013/06/04,2013/06/04T02:23:20.500Z,45.348,151.13,44.1,5.3,mb,81,"256km E of Kuril'sk, Russia",earthquake
2013/06/04,2013/06/04T02:23:01.210Z,45.413,150.907,46.7,5.1,mb,81,"234km E of Kuril'sk, Russia",earthquake
2013/06/03,2013/06/03T20:27:22.320Z,45.382,151.015,51.5,4.9,mb,135,"247km E of Kuril'sk, Russia",earthquake
2013/06/03,2013/06/03T20:01:24.140Z,38.671,141.792,46.3,4.6,mb,130,"29km S of Ofunato, Japan",earthquake
2013/06/03,2013/06/03T11:54:00.200Z,45.342,151.018,34.2,4.8,mb,135,"246km E of Kuril'sk, Russia",earthquake
2013/06/03,2013/06/03T06:32:55.810Z,37.473,143.798,31.2,4.6,mb,153,"off the east coast of Honshu, Japan",earthquake
2013/06/03,2013/06/03T06:23:45.920Z,26.843,126.625,115.7,4.5,mb,47,"117km NW of Naha/shi, Japan",earthquake
2013/06/03,2013/06/03T06:11:34.220Z,45.311,151.077,41.9,4.9,mb,81,"251km E of Kuril'sk, Russia",earthquake
2013/06/01,2013/06/01T18:05:17.550Z,37.285,143.352,3.7,4.7,mb,98,"209km E of Namie, Japan",earthquake
2013/05/31,2013/05/31T01:46:03.280Z,39.805,143.573,33,4.9,mb,93.1,"141km E of Miyako, Japan",earthquake
2013/05/29,2013/05/29T00:49:10.950Z,29.32,130.4,40.8,4.6,mb,135.5,"139km NE of Naze, Japan",earthquake
2013/05/28,2013/05/28T19:24:24.630Z,34.173,140.745,30,5,mb,65,"114km SSE of Katsuura, Japan",earthquake
2013/05/27,2013/05/27T09:16:36.680Z,39.153,141.77,98.5,4.5,mb,123,"13km NNW of Ofunato, Japan",earthquake
2013/05/25,2013/05/25T21:17:03.420Z,24.683,125.191,33.1,4.7,mb,70.2,"15km SW of Hirara, Japan",earthquake
2013/05/25,2013/05/25T02:26:12.460Z,49.444,156.118,54.4,4.6,mb,108,Kuril Islands,earthquake
2013/05/24,2013/05/24T08:33:17.790Z,37.705,141.516,48,4.9,mb,90,"51km ENE of Namie, Japan",earthquake
2013/05/24,2013/05/24T05:09:51.440Z,45.291,149.793,108,4.6,mb,81,"150km E of Kuril'sk, Russia",earthquake
